,sub_id,Group,hemi,area,linear_fit,slope,y_shift
711,sub-CC00935XX20,2nd,L,dorsal,0.020582264050758692,2.2074121290610145,91.39514793549426
712,sub-CC00993XX21,2nd,L,dorsal,0.02535924717995741,2.3102566691081936,77.03832037738435
713,sub-CC01002XX04,2nd,L,dorsal,0.09324985670491437,4.518605446104137,83.36320908324574
714,sub-CC01235XX15,2nd,L,dorsal,0.08470771587438708,4.610174089422322,76.31037306796273
715,sub-CC01063XX08,2nd,L,dorsal,0.021105322660925352,2.43693814524932,93.72343208121764
716,sub-CC01224XX12,2nd,L,dorsal,7.131731963205823e-06,0.04286659700006726,127.42404328566609
717,sub-CC01026XX12,2nd,L,ventral,0.02032739981498477,-2.392439430714505,71.86763108449779
718,sub-CC01037XX15,2nd,L,ventral,0.059723408815767765,-4.153028008220831,93.36947201181647
719,sub-CC00962XX14,2nd,L,ventral,0.04405872333397021,-3.122706600905263,68.91312231397312
720,sub-CC01065XX10,2nd,L,ventral,0.011041232359527808,-1.6833038997878047,72.68359925452
